asset_target,task,model,accuracy_increment_vs_baseline,balanced_accuracy_increment_vs_baseline,MAE_change_vs_baseline,MAE_not_worse_than_baseline
GLD_ret,regression,baseline,0.0,0.0,0.0,True
GLD_ret,regression,shock_main,0.050000000000000044,0.05050505050505055,-0.0002774685968734425,True
GLD_ret,regression,shock_interactions,-0.033333333333333326,-0.03030303030303033,-1.5192146171308374e-05,True
GLD_ret,regression,rag_memory,0.050000000000000044,0.04545454545454547,-7.550079667368453e-05,True
GLD_ret,regression,shock_rag,0.008333333333333304,0.007575757575757569,-2.1087285321661625e-05,True
GLD_ret,regression,case_model,0.08333333333333337,0.08080808080808083,0.00019103709440638703,False
GLD_ret,regression,fusion,0.04166666666666663,0.04292929292929293,0.00011840174411473746,False
GLD_ret,regression,fusion_case,0.033333333333333326,0.03198653198653195,-1.0771345110918706e-06,True
QQQ_ret,regression,baseline,0.0,0.0,0.0,True
QQQ_ret,regression,shock_main,0.020270270270270285,0.02586367880485524,0.0003742803372070204,False
QQQ_ret,regression,shock_interactions,0.006756756756756799,0.007936507936507964,0.0005286154879500481,False
QQQ_ret,regression,rag_memory,-0.020270270270270285,-0.00121381886087768,0.0005167897799391915,False
QQQ_ret,regression,shock_rag,-0.013513513513513487,0.006722689075630284,0.0002235008633770571,False
QQQ_ret,regression,case_model,-0.12837837837837834,-0.08506069094304386,0.0008206554382025662,False
QQQ_ret,regression,fusion,-0.027027027027026973,-0.011204481792717103,0.0005243482626301338,False
QQQ_ret,regression,fusion_case,-0.013513513513513487,-0.003548085901027065,0.00013735660407106047,False
SPY_ret,regression,baseline,0.0,0.0,0.0,True
SPY_ret,regression,shock_main,0.0,-0.00293040293040292,-3.549290676462501e-05,True
SPY_ret,regression,shock_interactions,0.03378378378378377,0.03131868131868132,0.0002707974322197614,False
SPY_ret,regression,rag_memory,0.04729729729729726,0.049267399267399314,-0.0008314010465867785,True
SPY_ret,regression,shock_rag,0.08108108108108114,0.0798534798534799,-0.0008174891258162838,True
SPY_ret,regression,case_model,-0.05405405405405406,-0.050549450549450536,0.00046308391061984297,False
SPY_ret,regression,fusion,0.1283783783783784,0.1261904761904762,-0.001096861425370346,True
SPY_ret,regression,fusion_case,0.10135135135135132,0.09688644688644688,-0.0010871231514819422,True
UUP_ret,regression,baseline,0.0,0.0,0.0,True
UUP_ret,regression,shock_main,0.00934579439252331,0.005523877405559485,-6.397516943481597e-05,True
UUP_ret,regression,shock_interactions,0.018691588785046676,0.019066286528866716,-1.0808417859275998e-05,True
UUP_ret,regression,rag_memory,-0.01869158878504673,-0.011047754811119026,2.3908020080436014e-05,False
UUP_ret,regression,shock_rag,0.04672897196261677,0.04365645046329292,-3.5806853938941466e-05,True
UUP_ret,regression,case_model,0.018691588785046676,0.04044903777619385,0.0002282544726672532,False
UUP_ret,regression,fusion,0.02803738317757004,0.029935851746258013,-2.8604376934057534e-05,True
UUP_ret,regression,fusion_case,0.03738317757009341,0.03813257305773343,-0.00010029731589596396,True
