asset_target,task,model,accuracy_increment_vs_baseline,MAE_change_vs_baseline,MAE_not_worse_than_baseline
GLD_ret,regression,baseline,0.0,0.0,True
GLD_ret,regression,shock_main,-0.0833333333333333,0.0002786350410803,False
GLD_ret,regression,shock_interactions,-0.1333333333333333,0.0006041703513471,False
GLD_ret,regression,rag_memory,-0.0083333333333333,-1.8311507525662143e-05,True
GLD_ret,regression,shock_rag,-0.0583333333333333,0.0001687812798089,False
GLD_ret,regression,case_model,-0.0416666666666666,0.0009660734740694,False
GLD_ret,regression,fusion,-0.0916666666666666,0.0003805268537884,False
GLD_ret,regression,fusion_case,-0.0833333333333333,0.0003982494650081,False
QQQ_ret,regression,baseline,0.0,0.0,True
QQQ_ret,regression,shock_main,0.0067567567567566,-0.000131898028871,True
QQQ_ret,regression,shock_interactions,0.0135135135135134,-0.0001030321327474,True
QQQ_ret,regression,rag_memory,-0.0135135135135135,8.807061053441208e-05,False
QQQ_ret,regression,shock_rag,-0.0135135135135135,0.0002075240662444,False
QQQ_ret,regression,case_model,-0.1418918918918919,0.0013328743614366,False
QQQ_ret,regression,fusion,-0.0067567567567567,0.0002420100799279,False
QQQ_ret,regression,fusion_case,-0.0202702702702702,0.0003298923794805,False
SPY_ret,regression,baseline,0.0,0.0,True
SPY_ret,regression,shock_main,0.0135135135135134,-4.6330063754426026e-05,True
SPY_ret,regression,shock_interactions,0.0405405405405404,-0.0001140501155627,True
SPY_ret,regression,rag_memory,0.0202702702702702,3.265996905521887e-05,False
SPY_ret,regression,shock_rag,0.0202702702702702,2.9385762275315613e-05,False
SPY_ret,regression,case_model,-0.0608108108108108,0.0010109454381474,False
SPY_ret,regression,fusion,0.054054054054054,-4.6346098652460394e-05,True
SPY_ret,regression,fusion_case,0.054054054054054,-6.895993471709924e-05,True
UUP_ret,regression,baseline,0.0,0.0,True
UUP_ret,regression,shock_main,0.0560747663551401,-3.883367060040707e-05,True
UUP_ret,regression,shock_interactions,0.02803738317757,2.332640106213289e-05,False
UUP_ret,regression,rag_memory,0.0186915887850466,2.9904039372127825e-05,False
UUP_ret,regression,shock_rag,0.02803738317757,3.9055013447785066e-05,False
UUP_ret,regression,case_model,0.02803738317757,0.0002518878942397,False
UUP_ret,regression,fusion,0.0467289719626167,6.999835581446637e-06,False
UUP_ret,regression,fusion_case,0.0654205607476635,-0.0001200239005495,True
